"market_date","measure_name","measure_value"
"2014-12-23","EWMA","353.30"
"2014-12-23","SMA","336"
"2014-12-24","EWMA","350.92"
"2014-12-24","SMA","335"
"2014-12-25","EWMA","348.59"
"2014-12-25","SMA","333"
"2014-12-26","EWMA","346.30"
"2014-12-26","SMA","331"
"2014-12-27","EWMA","344.05"
"2014-12-27","SMA","329"
"2014-12-28","EWMA","341.83"
"2014-12-28","SMA","327"
"2014-12-29","EWMA","339.51"
"2014-12-29","SMA","324"
"2014-12-30","EWMA","337.23"
"2014-12-30","SMA","322"
"2014-12-31","EWMA","335.12"
"2014-12-31","SMA","321"
"2015-01-01","EWMA","333.28"
"2015-01-01","SMA","321"
"2015-01-02","EWMA","331.68"
"2015-01-02","SMA","321"
"2015-01-03","EWMA","330.29"
"2015-01-03","SMA","321"
"2015-01-04","EWMA","328.56"
"2015-01-04","SMA","317"
"2015-01-05","EWMA","326.54"
"2015-01-05","SMA","313"
"2015-01-06","EWMA","324.26"
"2015-01-06","SMA","309"
"2015-01-07","EWMA","321.89"
"2015-01-07","SMA","306"
"2015-01-08","EWMA","319.56"
"2015-01-08","SMA","304"
"2015-01-09","EWMA","317.15"
"2015-01-09","SMA","301"
"2015-01-10","EWMA","314.79"
"2015-01-10","SMA","299"
"2015-01-11","EWMA","312.35"
"2015-01-11","SMA","296"
"2015-01-12","EWMA","309.70"
"2015-01-12","SMA","292"
"2015-01-13","EWMA","307.01"
"2015-01-13","SMA","289"
"2015-01-14","EWMA","303.89"
"2015-01-14","SMA","283"
"2015-01-15","EWMA","299.87"
"2015-01-15","SMA","273"
"2015-01-16","EWMA","295.34"
"2015-01-16","SMA","265"
"2015-01-17","EWMA","290.36"
"2015-01-17","SMA","257"
"2015-01-18","EWMA","285.37"
"2015-01-18","SMA","252"
"2015-01-19","EWMA","280.51"
"2015-01-19","SMA","248"
"2015-01-20","EWMA","275.63"
"2015-01-20","SMA","243"
"2015-01-21","EWMA","270.74"
"2015-01-21","SMA","238"
"2015-01-22","EWMA","265.83"
"2015-01-22","SMA","233"
"2015-01-23","EWMA","261.17"
"2015-01-23","SMA","230"
"2015-01-24","EWMA","256.60"
"2015-01-24","SMA","226"
"2015-01-25","EWMA","252.36"
"2015-01-25","SMA","224"
"2015-01-26","EWMA","248.54"
"2015-01-26","SMA","223"
"2015-01-27","EWMA","245.22"
"2015-01-27","SMA","223"
"2015-01-28","EWMA","242.72"
"2015-01-28","SMA","226"
"2015-01-29","EWMA","241.07"
"2015-01-29","SMA","230"
"2015-01-30","EWMA","239.89"
"2015-01-30","SMA","232"
"2015-01-31","EWMA","238.99"
"2015-01-31","SMA","233"
"2015-02-01","EWMA","238.34"
"2015-02-01","SMA","234"
"2015-02-02","EWMA","237.91"
"2015-02-02","SMA","235"
"2015-02-03","EWMA","237.79"
"2015-02-03","SMA","237"
"2015-02-04","EWMA","237.82"
"2015-02-04","SMA","238"
"2015-02-05","EWMA","237.84"
"2015-02-05","SMA","238"
"2015-02-06","EWMA","237.73"
"2015-02-06","SMA","237"
"2015-02-07","EWMA","237.51"
"2015-02-07","SMA","236"
"2015-02-08","EWMA","237.18"
"2015-02-08","SMA","235"
"2015-02-09","EWMA","236.64"
"2015-02-09","SMA","233"
"2015-02-10","EWMA","235.65"
"2015-02-10","SMA","229"
"2015-02-11","EWMA","234.40"
"2015-02-11","SMA","226"
"2015-02-12","EWMA","233.18"
"2015-02-12","SMA","225"
"2015-02-13","EWMA","231.99"
"2015-02-13","SMA","224"
"2015-02-14","EWMA","231.08"
"2015-02-14","SMA","225"
"2015-02-15","EWMA","230.55"
"2015-02-15","SMA","227"
"2015-02-16","EWMA","230.22"
"2015-02-16","SMA","228"
"2015-02-17","EWMA","229.93"
"2015-02-17","SMA","228"
"2015-02-18","EWMA","229.81"
"2015-02-18","SMA","229"
"2015-02-19","EWMA","229.70"
"2015-02-19","SMA","229"
"2015-02-20","EWMA","229.87"
"2015-02-20","SMA","231"
"2015-02-21","EWMA","230.28"
"2015-02-21","SMA","233"
"2015-02-22","EWMA","230.76"
"2015-02-22","SMA","234"
"2015-02-23","EWMA","231.31"
"2015-02-23","SMA","235"
"2015-02-24","EWMA","231.92"
"2015-02-24","SMA","236"
"2015-02-25","EWMA","232.58"
"2015-02-25","SMA","237"
"2015-02-26","EWMA","233.41"
"2015-02-26","SMA","239"
"2015-02-27","EWMA","234.27"
"2015-02-27","SMA","240"
"2015-02-28","EWMA","235.14"
"2015-02-28","SMA","241"
"2015-03-01","EWMA","235.90"
"2015-03-01","SMA","241"
"2015-03-02","EWMA","236.82"
"2015-03-02","SMA","243"
"2015-03-03","EWMA","238.01"
"2015-03-03","SMA","246"
"2015-03-04","EWMA","239.31"
"2015-03-04","SMA","248"
"2015-03-05","EWMA","240.83"
"2015-03-05","SMA","251"
"2015-03-06","EWMA","242.54"
"2015-03-06","SMA","254"
"2015-03-07","EWMA","244.29"
"2015-03-07","SMA","256"
"2015-03-08","EWMA","246.07"
"2015-03-08","SMA","258"
"2015-03-09","EWMA","248.01"
"2015-03-09","SMA","261"
"2015-03-10","EWMA","250.09"
"2015-03-10","SMA","264"
"2015-03-11","EWMA","252.42"
"2015-03-11","SMA","268"
"2015-03-12","EWMA","254.97"
"2015-03-12","SMA","272"
"2015-03-13","EWMA","257.70"
"2015-03-13","SMA","276"
"2015-03-14","EWMA","260.47"
"2015-03-14","SMA","279"
"2015-03-15","EWMA","263.14"
"2015-03-15","SMA","281"
"2015-03-16","EWMA","265.72"
"2015-03-16","SMA","283"
"2015-03-17","EWMA","268.10"
"2015-03-17","SMA","284"
"2015-03-18","EWMA","270.17"
"2015-03-18","SMA","284"
"2015-03-19","EWMA","271.84"
"2015-03-19","SMA","283"
"2015-03-20","EWMA","273.16"
"2015-03-20","SMA","282"
"2015-03-21","EWMA","274.18"
"2015-03-21","SMA","281"
"2015-03-22","EWMA","274.94"
"2015-03-22","SMA","280"
"2015-03-23","EWMA","275.47"
"2015-03-23","SMA","279"
"2015-03-24","EWMA","275.80"
"2015-03-24","SMA","278"
"2015-03-25","EWMA","275.57"
"2015-03-25","SMA","274"
"2015-03-26","EWMA","274.98"
"2015-03-26","SMA","271"
"2015-03-27","EWMA","273.94"
"2015-03-27","SMA","267"
"2015-03-28","EWMA","272.78"
"2015-03-28","SMA","265"
"2015-03-29","EWMA","271.51"
"2015-03-29","SMA","263"
"2015-03-30","EWMA","269.88"
"2015-03-30","SMA","259"
"2015-03-31","EWMA","268.08"
"2015-03-31","SMA","256"
"2015-04-01","EWMA","266.12"
"2015-04-01","SMA","253"
"2015-04-02","EWMA","264.41"
"2015-04-02","SMA","253"
"2015-04-03","EWMA","262.80"
"2015-04-03","SMA","252"
"2015-04-04","EWMA","261.40"
"2015-04-04","SMA","252"
"2015-04-05","EWMA","260.05"
"2015-04-05","SMA","251"
"2015-04-06","EWMA","258.87"
"2015-04-06","SMA","251"
"2015-04-07","EWMA","257.72"
"2015-04-07","SMA","250"
"2015-04-08","EWMA","256.72"
"2015-04-08","SMA","250"
"2015-04-09","EWMA","255.85"
"2015-04-09","SMA","250"
"2015-04-10","EWMA","255.09"
"2015-04-10","SMA","250"
"2015-04-11","EWMA","254.30"
"2015-04-11","SMA","249"
"2015-04-12","EWMA","253.48"
"2015-04-12","SMA","248"
"2015-04-13","EWMA","252.77"
"2015-04-13","SMA","248"
"2015-04-14","EWMA","251.89"
"2015-04-14","SMA","246"
"2015-04-15","EWMA","250.86"
"2015-04-15","SMA","244"
"2015-04-16","EWMA","249.84"
"2015-04-16","SMA","243"
"2015-04-17","EWMA","248.69"
"2015-04-17","SMA","241"
"2015-04-18","EWMA","247.43"
"2015-04-18","SMA","239"
"2015-04-19","EWMA","245.94"
"2015-04-19","SMA","236"
"2015-04-20","EWMA","244.39"
"2015-04-20","SMA","234"
"2015-04-21","EWMA","242.65"
"2015-04-21","SMA","231"
"2015-04-22","EWMA","241.01"
"2015-04-22","SMA","230"
"2015-04-23","EWMA","239.45"
"2015-04-23","SMA","229"
"2015-04-24","EWMA","238.09"
"2015-04-24","SMA","229"
"2015-04-25","EWMA","236.91"
"2015-04-25","SMA","229"
"2015-04-26","EWMA","235.75"
"2015-04-26","SMA","228"
"2015-04-27","EWMA","234.61"
"2015-04-27","SMA","227"
"2015-04-28","EWMA","233.62"
"2015-04-28","SMA","227"
"2015-04-29","EWMA","232.76"
"2015-04-29","SMA","227"
"2015-04-30","EWMA","232.14"
"2015-04-30","SMA","228"
"2015-05-01","EWMA","231.60"
"2015-05-01","SMA","228"
"2015-05-02","EWMA","231.26"
"2015-05-02","SMA","229"
"2015-05-03","EWMA","231.10"
"2015-05-03","SMA","230"
"2015-05-04","EWMA","231.09"
"2015-05-04","SMA","231"
"2015-05-05","EWMA","231.21"
"2015-05-05","SMA","232"
"2015-05-06","EWMA","231.31"
"2015-05-06","SMA","232"
"2015-05-07","EWMA","231.40"
"2015-05-07","SMA","232"
"2015-05-08","EWMA","231.48"
"2015-05-08","SMA","232"
"2015-05-09","EWMA","231.68"
"2015-05-09","SMA","233"
"2015-05-10","EWMA","231.98"
"2015-05-10","SMA","234"
"2015-05-11","EWMA","232.37"
"2015-05-11","SMA","235"
"2015-05-12","EWMA","232.84"
"2015-05-12","SMA","236"
"2015-05-13","EWMA","233.38"
"2015-05-13","SMA","237"
"2015-05-14","EWMA","233.98"
"2015-05-14","SMA","238"
"2015-05-15","EWMA","234.50"
"2015-05-15","SMA","238"
"2015-05-16","EWMA","234.96"
"2015-05-16","SMA","238"
"2015-05-17","EWMA","235.49"
"2015-05-17","SMA","239"
"2015-05-18","EWMA","235.82"
"2015-05-18","SMA","238"
"2015-05-19","EWMA","236.10"
"2015-05-19","SMA","238"
"2015-05-20","EWMA","236.35"
"2015-05-20","SMA","238"
"2015-05-21","EWMA","236.56"
"2015-05-21","SMA","238"
"2015-05-22","EWMA","236.75"
"2015-05-22","SMA","238"
"2015-05-23","EWMA","236.78"
"2015-05-23","SMA","237"
"2015-05-24","EWMA","236.81"
"2015-05-24","SMA","237"
"2015-05-25","EWMA","236.83"
"2015-05-25","SMA","237"
"2015-05-26","EWMA","236.85"
"2015-05-26","SMA","237"
"2015-05-27","EWMA","236.87"
"2015-05-27","SMA","237"
"2015-05-28","EWMA","236.89"
"2015-05-28","SMA","237"
"2015-05-29","EWMA","236.90"
"2015-05-29","SMA","237"
"2015-05-30","EWMA","236.91"
"2015-05-30","SMA","237"
"2015-05-31","EWMA","236.79"
"2015-05-31","SMA","236"
"2015-06-01","EWMA","236.69"
"2015-06-01","SMA","236"
"2015-06-02","EWMA","236.47"
"2015-06-02","SMA","235"
"2015-06-03","EWMA","236.28"
"2015-06-03","SMA","235"
"2015-06-04","EWMA","235.98"
"2015-06-04","SMA","234"
"2015-06-05","EWMA","235.59"
"2015-06-05","SMA","233"
"2015-06-06","EWMA","235.12"
"2015-06-06","SMA","232"
"2015-06-07","EWMA","234.58"
"2015-06-07","SMA","231"
"2015-06-08","EWMA","233.98"
"2015-06-08","SMA","230"
"2015-06-09","EWMA","233.46"
"2015-06-09","SMA","230"
"2015-06-10","EWMA","232.88"
"2015-06-10","SMA","229"
"2015-06-11","EWMA","232.25"
"2015-06-11","SMA","228"
"2015-06-12","EWMA","231.70"
"2015-06-12","SMA","228"
"2015-06-13","EWMA","231.09"
"2015-06-13","SMA","227"
"2015-06-14","EWMA","230.56"
"2015-06-14","SMA","227"
"2015-06-15","EWMA","230.10"
"2015-06-15","SMA","227"
"2015-06-16","EWMA","229.83"
"2015-06-16","SMA","228"
"2015-06-17","EWMA","229.85"
"2015-06-17","SMA","230"
"2015-06-18","EWMA","230.13"
"2015-06-18","SMA","232"
"2015-06-19","EWMA","230.63"
"2015-06-19","SMA","234"
"2015-06-20","EWMA","231.20"
"2015-06-20","SMA","235"
"2015-06-21","EWMA","231.82"
"2015-06-21","SMA","236"
"2015-06-22","EWMA","232.62"
"2015-06-22","SMA","238"
"2015-06-23","EWMA","233.45"
"2015-06-23","SMA","239"
"2015-06-24","EWMA","234.30"
"2015-06-24","SMA","240"
"2015-06-25","EWMA","235.17"
"2015-06-25","SMA","241"
"2015-06-26","EWMA","236.06"
"2015-06-26","SMA","242"
"2015-06-27","EWMA","236.96"
"2015-06-27","SMA","243"
"2015-06-28","EWMA","237.88"
"2015-06-28","SMA","244"
"2015-06-29","EWMA","238.94"
"2015-06-29","SMA","246"
"2015-06-30","EWMA","239.99"
"2015-06-30","SMA","247"
"2015-07-01","EWMA","241.03"
"2015-07-01","SMA","248"
"2015-07-02","EWMA","242.07"
"2015-07-02","SMA","249"
"2015-07-03","EWMA","242.97"
"2015-07-03","SMA","249"
"2015-07-04","EWMA","243.88"
"2015-07-04","SMA","250"
"2015-07-05","EWMA","244.81"
"2015-07-05","SMA","251"
"2015-07-06","EWMA","245.87"
"2015-07-06","SMA","253"
"2015-07-07","EWMA","247.06"
"2015-07-07","SMA","255"
"2015-07-08","EWMA","248.22"
"2015-07-08","SMA","256"
"2015-07-09","EWMA","249.49"
"2015-07-09","SMA","258"
"2015-07-10","EWMA","250.86"
"2015-07-10","SMA","260"
"2015-07-11","EWMA","252.44"
"2015-07-11","SMA","263"
"2015-07-12","EWMA","254.20"
"2015-07-12","SMA","266"
"2015-07-13","EWMA","256.38"
"2015-07-13","SMA","271"
"2015-07-14","EWMA","258.54"
"2015-07-14","SMA","273"
"2015-07-15","EWMA","260.68"
"2015-07-15","SMA","275"
"2015-07-16","EWMA","262.80"
"2015-07-16","SMA","277"
"2015-07-17","EWMA","264.78"
"2015-07-17","SMA","278"
"2015-07-18","EWMA","266.76"
"2015-07-18","SMA","280"
"2015-07-19","EWMA","268.61"
"2015-07-19","SMA","281"
"2015-07-20","EWMA","270.22"
"2015-07-20","SMA","281"
"2015-07-21","EWMA","271.75"
"2015-07-21","SMA","282"
"2015-07-22","EWMA","273.21"
"2015-07-22","SMA","283"
"2015-07-23","EWMA","274.48"
"2015-07-23","SMA","283"
"2015-07-24","EWMA","275.59"
"2015-07-24","SMA","283"
"2015-07-25","EWMA","276.68"
"2015-07-25","SMA","284"
"2015-07-26","EWMA","277.50"
"2015-07-26","SMA","283"
"2015-07-27","EWMA","278.09"
"2015-07-27","SMA","282"
"2015-07-28","EWMA","278.60"
"2015-07-28","SMA","282"
"2015-07-29","EWMA","279.17"
"2015-07-29","SMA","283"
"2015-07-30","EWMA","279.67"
"2015-07-30","SMA","283"
"2015-07-31","EWMA","280.23"
"2015-07-31","SMA","284"
"2015-08-01","EWMA","280.72"
"2015-08-01","SMA","284"
"2015-08-02","EWMA","281.28"
"2015-08-02","SMA","285"
"2015-08-03","EWMA","281.76"
"2015-08-03","SMA","285"
"2015-08-04","EWMA","282.18"
"2015-08-04","SMA","285"
"2015-08-05","EWMA","282.68"
"2015-08-05","SMA","286"
"2015-08-06","EWMA","283.11"
"2015-08-06","SMA","286"
"2015-08-07","EWMA","283.49"
"2015-08-07","SMA","286"
"2015-08-08","EWMA","283.82"
"2015-08-08","SMA","286"
"2015-08-09","EWMA","283.84"
"2015-08-09","SMA","284"
"2015-08-10","EWMA","283.60"
"2015-08-10","SMA","282"
"2015-08-11","EWMA","283.13"
"2015-08-11","SMA","280"
"2015-08-12","EWMA","282.46"
"2015-08-12","SMA","278"
"2015-08-13","EWMA","281.62"
"2015-08-13","SMA","276"
"2015-08-14","EWMA","280.76"
"2015-08-14","SMA","275"
"2015-08-15","EWMA","279.75"
"2015-08-15","SMA","273"
"2015-08-16","EWMA","278.74"
"2015-08-16","SMA","272"
"2015-08-17","EWMA","277.60"
"2015-08-17","SMA","270"
"2015-08-18","EWMA","276.48"
"2015-08-18","SMA","269"
"2015-08-19","EWMA","274.73"
"2015-08-19","SMA","263"
"2015-08-20","EWMA","272.69"
"2015-08-20","SMA","259"
"2015-08-21","EWMA","270.52"
"2015-08-21","SMA","256"
"2015-08-22","EWMA","268.24"
"2015-08-22","SMA","253"
"2015-08-23","EWMA","266.00"
"2015-08-23","SMA","251"
"2015-08-24","EWMA","263.66"
"2015-08-24","SMA","248"
"2015-08-25","EWMA","261.10"
"2015-08-25","SMA","244"
"2015-08-26","EWMA","258.49"
"2015-08-26","SMA","241"
"2015-08-27","EWMA","255.83"
"2015-08-27","SMA","238"
"2015-08-28","EWMA","253.12"
"2015-08-28","SMA","235"
"2015-08-29","EWMA","250.50"
"2015-08-29","SMA","233"
"2015-08-30","EWMA","247.84"
"2015-08-30","SMA","230"
"2015-08-31","EWMA","245.26"
"2015-08-31","SMA","228"
"2015-09-01","EWMA","242.76"
"2015-09-01","SMA","226"
"2015-09-02","EWMA","240.71"
"2015-09-02","SMA","227"
"2015-09-03","EWMA","239.06"
"2015-09-03","SMA","228"
"2015-09-04","EWMA","237.49"
"2015-09-04","SMA","227"
"2015-09-05","EWMA","236.13"
"2015-09-05","SMA","227"
"2015-09-06","EWMA","234.94"
"2015-09-06","SMA","227"
"2015-09-07","EWMA","234.04"
"2015-09-07","SMA","228"
"2015-09-08","EWMA","233.51"
"2015-09-08","SMA","230"
"2015-09-09","EWMA","233.31"
"2015-09-09","SMA","232"
"2015-09-10","EWMA","233.27"
"2015-09-10","SMA","233"
"2015-09-11","EWMA","233.36"
"2015-09-11","SMA","234"
"2015-09-12","EWMA","233.44"
"2015-09-12","SMA","234"
"2015-09-13","EWMA","233.64"
"2015-09-13","SMA","235"
"2015-09-14","EWMA","233.82"
"2015-09-14","SMA","235"
"2015-09-15","EWMA","233.97"
"2015-09-15","SMA","235"
"2015-09-16","EWMA","234.10"
"2015-09-16","SMA","235"
"2015-09-17","EWMA","234.22"
"2015-09-17","SMA","235"
"2015-09-18","EWMA","234.32"
"2015-09-18","SMA","235"
"2015-09-19","EWMA","234.41"
"2015-09-19","SMA","235"
"2015-09-20","EWMA","234.49"
"2015-09-20","SMA","235"
"2015-09-21","EWMA","234.43"
"2015-09-21","SMA","234"
"2015-09-22","EWMA","234.24"
"2015-09-22","SMA","233"
"2015-09-23","EWMA","234.08"
"2015-09-23","SMA","233"
"2015-09-24","EWMA","233.81"
"2015-09-24","SMA","232"
"2015-09-25","EWMA","233.57"
"2015-09-25","SMA","232"
"2015-09-26","EWMA","233.24"
"2015-09-26","SMA","231"
"2015-09-27","EWMA","232.95"
"2015-09-27","SMA","231"
"2015-09-28","EWMA","232.70"
"2015-09-28","SMA","231"
"2015-09-29","EWMA","232.61"
"2015-09-29","SMA","232"
"2015-09-30","EWMA","232.66"
"2015-09-30","SMA","233"
"2015-10-01","EWMA","232.70"
"2015-10-01","SMA","233"
"2015-10-02","EWMA","232.87"
"2015-10-02","SMA","234"
"2015-10-03","EWMA","233.02"
"2015-10-03","SMA","234"
"2015-10-04","EWMA","233.15"
"2015-10-04","SMA","234"
"2015-10-05","EWMA","233.39"
"2015-10-05","SMA","235"
"2015-10-06","EWMA","233.73"
"2015-10-06","SMA","236"
"2015-10-07","EWMA","234.16"
"2015-10-07","SMA","237"
"2015-10-08","EWMA","234.66"
"2015-10-08","SMA","238"
"2015-10-09","EWMA","235.09"
"2015-10-09","SMA","238"
"2015-10-10","EWMA","235.60"
"2015-10-10","SMA","239"
"2015-10-11","EWMA","236.17"
"2015-10-11","SMA","240"
"2015-10-12","EWMA","236.80"
"2015-10-12","SMA","241"
"2015-10-13","EWMA","237.35"
"2015-10-13","SMA","241"
"2015-10-14","EWMA","237.95"
"2015-10-14","SMA","242"
"2015-10-15","EWMA","238.61"
"2015-10-15","SMA","243"
"2015-10-16","EWMA","239.44"
"2015-10-16","SMA","245"
"2015-10-17","EWMA","240.29"
"2015-10-17","SMA","246"
"2015-10-18","EWMA","241.42"
"2015-10-18","SMA","249"
"2015-10-19","EWMA","242.54"
"2015-10-19","SMA","250"
"2015-10-20","EWMA","243.77"
"2015-10-20","SMA","252"
"2015-10-21","EWMA","245.10"
"2015-10-21","SMA","254"
"2015-10-22","EWMA","246.39"
"2015-10-22","SMA","255"
"2015-10-23","EWMA","247.90"
"2015-10-23","SMA","258"
"2015-10-24","EWMA","249.47"
"2015-10-24","SMA","260"
"2015-10-25","EWMA","251.10"
"2015-10-25","SMA","262"
"2015-10-26","EWMA","252.91"
"2015-10-26","SMA","265"
"2015-10-27","EWMA","254.87"
"2015-10-27","SMA","268"
"2015-10-28","EWMA","256.97"
"2015-10-28","SMA","271"
"2015-10-29","EWMA","259.31"
"2015-10-29","SMA","275"
"2015-10-30","EWMA","261.87"
"2015-10-30","SMA","279"
"2015-10-31","EWMA","264.75"
"2015-10-31","SMA","284"
"2015-11-01","EWMA","267.64"
"2015-11-01","SMA","287"
"2015-11-02","EWMA","270.68"
"2015-11-02","SMA","291"
"2015-11-03","EWMA","274.23"
"2015-11-03","SMA","298"
"2015-11-04","EWMA","278.62"
"2015-11-04","SMA","308"
"2015-11-05","EWMA","283.74"
"2015-11-05","SMA","318"
"2015-11-06","EWMA","289.23"
"2015-11-06","SMA","326"
"2015-11-07","EWMA","294.92"
"2015-11-07","SMA","333"
"2015-11-08","EWMA","300.91"
"2015-11-08","SMA","341"
"2015-11-09","EWMA","306.90"
"2015-11-09","SMA","347"
"2015-11-10","EWMA","313.02"
"2015-11-10","SMA","354"
"2015-11-11","EWMA","318.74"
"2015-11-11","SMA","357"
"2015-11-12","EWMA","323.84"
"2015-11-12","SMA","358"
"2015-11-13","EWMA","328.41"
"2015-11-13","SMA","359"
"2015-11-14","EWMA","332.52"
"2015-11-14","SMA","360"
"2015-11-15","EWMA","336.22"
"2015-11-15","SMA","361"
"2015-11-16","EWMA","339.44"
"2015-11-16","SMA","361"
"2015-11-17","EWMA","341.98"
"2015-11-17","SMA","359"
"2015-11-18","EWMA","343.54"
"2015-11-18","SMA","354"
"2015-11-19","EWMA","344.12"
"2015-11-19","SMA","348"
"2015-11-20","EWMA","344.10"
"2015-11-20","SMA","344"
"2015-11-21","EWMA","343.57"
"2015-11-21","SMA","340"
"2015-11-22","EWMA","342.59"
"2015-11-22","SMA","336"
"2015-11-23","EWMA","341.34"
"2015-11-23","SMA","333"
"2015-11-24","EWMA","339.74"
"2015-11-24","SMA","329"
"2015-11-25","EWMA","338.08"
"2015-11-25","SMA","327"
"2015-11-26","EWMA","336.90"
"2015-11-26","SMA","329"
"2015-11-27","EWMA","336.00"
"2015-11-27","SMA","330"
